Date,Price,Company
2023-09-01,7.97,0H4A
2023-08-01,8.27,0H4A
2023-07-01,9.21,0H4A
2023-06-01,9.41,0H4A
2023-05-01,9.12,0H4A
2023-04-01,9.68,0H4A
2023-03-01,10.28,0H4A
2023-02-01,9.81,0H4A
2023-01-01,9.66,0H4A
2022-12-01,7.79,0H4A
2022-11-01,7.63,0H4A
2022-10-01,6.95,0H4A
2022-09-01,5.9,0H4A
2022-08-01,5.91,0H4A
2022-07-01,6.01,0H4A
2022-06-01,5.55,0H4A
2022-05-01,6.84,0H4A
2022-04-01,7.15,0H4A
2022-03-01,7.36,0H4A
2022-02-01,6.88,0H4A
2022-01-01,6.83,0H4A
2021-12-01,6.23,0H4A
2021-11-01,5.39,0H4A
2021-10-01,5.72,0H4A
2021-09-01,5.97,0H4A
2021-08-01,8.44,0H4A
2021-07-01,9.61,0H4A
2021-06-01,9.46,0H4A
2021-05-01,10.63,0H4A
2021-04-01,10.75,0H4A
2021-03-01,11.34,0H4A
2021-02-01,12.28,0H4A
2021-01-01,10.65,0H4A
2020-12-01,11.02,0H4A
2020-11-01,9.78,0H4A
2020-10-01,7.37,0H4A
2020-09-01,7.33,0H4A
2020-08-01,9.0,0H4A
2020-07-01,7.48,0H4A
2020-06-01,8.94,0H4A
2020-05-01,9.2,0H4A
2020-04-01,8.11,0H4A
2020-03-01,8.57,0H4A
2020-02-01,11.63,0H4A
2020-01-01,13.85,0H4A
2019-12-01,16.71,0H4A
2019-11-01,17.17,0H4A
2019-10-01,15.6,0H4A
2019-09-01,14.6,0H4A
2019-08-01,13.99,0H4A
2019-07-01,14.33,0H4A
2019-06-01,15.04,0H4A
2019-05-01,17.05,0H4A
2019-04-01,21.47,0H4A
2019-03-01,19.53,0H4A
2019-02-01,22.55,0H4A
2019-01-01,22.1,0H4A
2018-12-01,19.3,0H4A
2018-11-01,21.53,0H4A
2018-10-01,17.8,0H4A
2018-09-01,21.11,0H4A
2018-08-01,22.48,0H4A
2018-07-01,24.1,0H4A
2018-06-01,20.64,0H4A
2018-05-01,23.32,0H4A
2018-04-01,24.14,0H4A
2017-12-01,29.48,0H4A
2017-11-01,28.87,0H4A
2017-10-01,27.41,0H4A
2017-09-01,23.49,0H4A
2017-08-01,20.97,0H4A
2017-07-01,18.23,0H4A
2017-06-01,19.92,0H4A
2017-05-01,17.34,0H4A
2017-04-01,15.81,0H4A
2017-03-01,15.23,0H4A
2017-02-01,13.85,0H4A
2017-01-01,12.41,0H4A
2016-12-01,12.31,0H4A
2016-11-01,12.23,0H4A
2016-10-01,11.63,0H4A
2016-09-01,9.84,0H4A
2016-08-01,10.48,0H4A
2016-07-01,10.63,0H4A
2016-06-01,10.44,0H4A
2016-05-01,12.59,0H4A
2016-04-01,13.56,0H4A
2016-03-01,14.29,0H4A
2016-02-01,13.73,0H4A
2016-01-01,13.4,0H4A
2015-12-01,14.56,0H4A
2015-11-01,13.69,0H4A
2015-10-01,13.43,0H4A
2015-09-01,12.43,0H4A
2015-08-01,11.03,0H4A
2015-07-01,12.35,0H4A
2015-06-01,11.56,0H4A
2015-05-01,12.98,0H4A
2023-09-01,434.1,EZJ
2023-08-01,423.2,EZJ
2023-07-01,452.3,EZJ
2023-06-01,482.6,EZJ
2023-05-01,471.3,EZJ
2023-04-01,497.6,EZJ
2023-03-01,518.4,EZJ
2023-02-01,486.4,EZJ
2023-01-01,491.9,EZJ
2022-12-01,324.6,EZJ
2022-11-01,391.1,EZJ
2022-10-01,348.4,EZJ
2022-09-01,296.4,EZJ
2022-08-01,359.8,EZJ
2022-07-01,399.4,EZJ
2022-06-01,366.6,EZJ
2022-05-01,517.6,EZJ
2022-04-01,561.0,EZJ
2022-03-01,556.6,EZJ
2022-02-01,602.6,EZJ
2022-01-01,618.6,EZJ
2021-12-01,556.0,EZJ
2021-11-01,496.5,EZJ
2021-10-01,623.0,EZJ
2021-09-01,662.8,EZJ
2021-08-01,670.16,EZJ
2021-07-01,712.43,EZJ
2021-06-01,753.34,EZJ
2021-05-01,847.39,EZJ
2021-04-01,872.22,EZJ
