Date,Price,Open,High,Low,Vol.,Change %,Company
09/01/2023,151.15,162.55,163.53,150.7,,-6.77%,IAGI
08/01/2023,162.12,171.0,172.9,157.5,,-5.13%,IAGI
07/01/2023,170.88,162.65,171.85,149.4,,5.55%,IAGI
06/01/2023,161.9,154.5,166.9,153.2,,4.96%,IAGI
05/01/2023,154.25,153.05,162.2,144.95,,1.50%,IAGI
04/01/2023,151.97,149.9,153.05,143.6,,0.47%,IAGI
03/01/2023,151.26,155.3,157.36,127.88,,-2.20%,IAGI
02/01/2023,154.66,168.66,173.04,152.1,,-8.10%,IAGI
01/01/2023,168.3,125.92,172.34,125.85,,34.62%,IAGI
12/01/2022,125.02,135.96,137.6,122.78,,-7.03%,IAGI
11/01/2022,134.48,122.7,142.0,119.46,,13.23%,IAGI
10/01/2022,118.77,95.49,121.96,90.51,,25.62%,IAGI
09/01/2022,94.55,107.66,114.07,93.65,,-12.10%,IAGI
08/01/2022,107.57,119.37,123.85,105.52,,-10.48%,IAGI
07/01/2022,120.16,107.6,125.64,102.22,,12.04%,IAGI
06/01/2022,107.25,129.76,130.14,104.48,,-17.65%,IAGI
05/01/2022,130.23,143.9,151.5,119.26,,-9.78%,IAGI
04/01/2022,144.34,143.53,155.93,130.66,,0.59%,IAGI
03/01/2022,143.49,151.1,154.72,109.52,,-7.11%,IAGI
02/01/2022,154.48,158.38,180.0,143.1,,-0.45%,IAGI
01/01/2022,155.18,154.1,168.4,142.48,,8.84%,IAGI
12/01/2021,142.57,129.96,147.94,124.72,,9.39%,IAGI
11/01/2021,130.33,162.84,183.04,122.07,,-19.60%,IAGI
10/01/2021,162.11,175.0,193.76,153.42,,-9.87%,IAGI
09/01/2021,179.86,162.26,188.12,136.74,,13.66%,IAGI
08/01/2021,158.24,171.76,178.84,155.62,,-9.83%,IAGI
07/01/2021,175.5,174.98,196.0,156.8,,1.72%,IAGI
06/01/2021,172.54,203.85,209.9,167.66,,-14.75%,IAGI
05/01/2021,202.39,207.55,213.9,185.6,,-0.29%,IAGI
04/01/2021,202.97,199.64,219.15,189.92,,0.82%,IAGI
03/01/2021,201.32,198.65,221.95,181.5,,1.32%,IAGI
02/01/2021,198.7,144.3,199.45,141.3,,37.84%,IAGI
01/01/2021,144.15,164.8,166.3,133.8,,-9.90%,IAGI
12/01/2020,159.99,156.9,178.75,125.3,,3.49%,IAGI
11/01/2020,154.59,93.24,177.5,89.32,,65.57%,IAGI
10/01/2020,93.37,95.94,110.2,88.88,,-0.02%,IAGI
09/01/2020,93.39,207.1,226.3,89.54,,-56.28%,IAGI
08/01/2020,213.63,166.4,220.29,155.55,,27.18%,IAGI
07/01/2020,167.98,221.9,237.6,163.31,,-25.13%,IAGI
06/01/2020,224.36,243.6,360.6,3.0,,-5.36%,IAGI
05/01/2020,237.06,216.25,264.3,159.4,,7.30%,IAGI
04/01/2020,220.93,208.7,264.4,197.5,,3.04%,IAGI
03/01/2020,214.42,482.0,482.0,192.85,,-55.86%,IAGI
02/01/2020,485.81,574.3,645.0,462.4,,-15.32%,IAGI
01/01/2020,573.69,626.8,683.4,568.5,,-8.36%,IAGI
12/01/2019,626.0,555.6,644.2,532.4,,12.77%,IAGI
11/01/2019,555.11,532.8,577.0,527.4,,7.85%,IAGI
10/01/2019,514.71,479.1,533.4,448.01,,9.09%,IAGI
09/01/2019,471.8,422.2,486.3,416.85,,11.36%,IAGI
08/01/2019,423.67,425.6,470.0,411.8,,0.58%,IAGI
07/01/2019,421.22,474.7,497.1,413.8,,-10.25%,IAGI
06/01/2019,469.34,446.8,475.8,441.5,,3.27%,IAGI
05/01/2019,454.5,542.0,548.8,4.64,,-16.28%,IAGI
04/01/2019,542.87,503.6,566.5,499.0,,6.39%,IAGI
03/01/2019,510.26,601.4,610.0,506.2,,-16.24%,IAGI
02/01/2019,609.2,644.3,667.5,594.8,,-5.28%,IAGI
01/01/2019,643.18,599.2,650.2,582.4,,2.88%,IAGI
12/01/2018,625.19,636.0,637.0,580.6,,-0.30%,IAGI
11/01/2018,627.1,600.0,668.8,6.39,,4.32%,IAGI
10/01/2018,601.12,648.2,660.2,547.0,,-9.01%,IAGI
09/01/2018,660.67,694.2,705.6,643.4,,-4.87%,IAGI
08/01/2018,694.51,714.0,718.63,651.6,,-2.18%,IAGI
07/01/2018,710.0,658.4,714.6,653.2,,6.27%,IAGI
06/01/2018,668.12,685.5,726.8,654.6,,-2.78%,IAGI
05/01/2018,687.2,630.4,706.4,630.4,,8.86%,IAGI
04/01/2018,631.28,603.9,636.4,592.6,,2.42%,IAGI
03/01/2018,616.38,615.4,635.6,587.2,,0.49%,IAGI
02/01/2018,613.35,644.4,653.6,6.22,,-4.33%,IAGI
01/01/2018,641.1,659.0,680.4,632.8,,-1.29%,IAGI
12/01/2017,649.5,613.75,651.5,607.0,,5.90%,IAGI
11/01/2017,613.33,640.0,644.0,582.5,,-3.56%,IAGI
10/01/2017,636.0,591.0,676.0,591.0,,7.07%,IAGI
09/01/2017,594.0,616.0,619.5,580.5,,-3.02%,IAGI
08/01/2017,612.5,580.5,638.5,579.0,,5.97%,IAGI
07/01/2017,578.0,618.0,637.0,569.5,,-5.05%,IAGI
06/01/2017,608.75,605.5,632.25,575.5,,0.95%,IAGI
05/01/2017,603.0,563.5,618.0,549.0,,7.58%,IAGI
04/01/2017,560.5,530.0,569.5,516.5,,5.95%,IAGI
03/01/2017,529.0,539.0,576.5,523.5,,-1.49%,IAGI
02/01/2017,537.0,482.5,540.0,472.2,,12.34%,IAGI
01/01/2017,478.0,447.4,509.0,443.15,,8.86%,IAGI
12/01/2016,439.1,431.3,461.0,406.3,,1.15%,IAGI
11/01/2016,434.1,438.1,463.3,417.7,,-0.12%,IAGI
10/01/2016,434.6,399.1,446.5,357.4,,9.09%,IAGI
09/01/2016,398.4,383.9,430.8,383.9,,3.94%,IAGI
08/01/2016,383.3,407.9,413.3,383.0,24.64M,-6.01%,IAGI
07/01/2016,407.8,374.1,439.9,345.8,75.72M,9.96%,IAGI
06/01/2016,370.86,535.5,538.0,337.4,66.12M,-30.87%,IAGI
05/01/2016,536.5,522.0,552.5,501.5,33.04M,1.85%,IAGI
04/01/2016,526.75,550.0,564.0,518.5,49.31M,-4.66%,IAGI
03/01/2016,552.5,547.5,567.0,526.5,31.68M,1.27%,IAGI
02/01/2016,545.56,543.5,571.0,469.2,42.35M,1.91%,IAGI
01/01/2016,535.36,602.0,614.0,509.5,39.74M,-12.24%,IAGI
12/01/2015,610.0,572.0,618.0,565.5,30.91M,7.35%,IAGI
11/01/2015,568.25,570.0,616.0,542.0,38.87M,-0.89%,IAGI
10/01/2015,573.36,592.0,617.5,551.5,51.58M,-1.69%,IAGI
09/01/2015,583.24,532.0,611.5,521.0,44.06M,8.10%,IAGI
08/01/2015,539.53,534.0,558.0,480.6,28.61M,0.19%,IAGI
07/01/2015,538.53,498.6,578.0,476.7,23.73M,9.02%,IAGI
06/01/2015,493.96,557.0,567.0,481.1,25.46M,-11.71%,IAGI
05/01/2015,559.49,543.0,581.5,530.5,19.50M,3.27%,IAGI
04/01/2015,541.76,600.5,617.5,533.5,17.17M,-10.38%,IAGI
03/01/2015,604.5,568.0,630.0,541.5,20.75M,4.40%,IAGI
02/01/2015,579.0,543.5,595.0,518.0,28.23M,6.34%,IAGI
01/01/2015,544.5,495.0,587.5,463.4,37.46M,11.92%,IAGI
12/01/2014,486.5,460.9,487.0,442.3,20.85M,6.43%,IAGI
11/01/2014,457.1,411.4,468.0,398.0,18.59M,11.87%,IAGI
10/01/2014,408.6,365.0,411.5,317.1,34.68M,11.12%,IAGI
09/01/2014,367.7,361.5,384.8,357.3,16.12M,2.17%,IAGI
08/01/2014,359.9,346.4,365.2,306.5,19.73M,8.60%,IAGI
07/01/2014,331.4,372.1,379.4,322.7,25.08M,-10.87%,IAGI
06/01/2014,371.8,396.0,425.0,367.8,18.44M,-5.49%,IAGI
05/01/2014,393.4,407.5,414.5,350.5,16.19M,-2.62%,IAGI
04/01/2014,404.0,418.2,447.0,370.1,18.93M,-3.12%,IAGI
03/01/2014,417.0,433.0,452.9,408.8,13.06M,-4.73%,IAGI
02/01/2014,437.7,419.4,457.1,403.0,13.40M,5.27%,IAGI
01/01/2014,415.8,401.1,442.8,396.7,17.18M,3.64%,IAGI
09/01/2023,434.10,425.20,464.40,413.00,1.94M,2.58%,EZJ
08/01/2023,423.20,451.10,462.00,409.40,58.39M,-6.43%,EZJ
07/01/2023,452.30,484.90,504.12,437.70,72.91M,-6.28%,EZJ
06/01/2023,482.60,472.00,514.40,465.79,58.71M,2.40%,EZJ
05/01/2023,471.30,500.80,534.80,467.00,59.88M,-5.29%,EZJ
