0H4A,EZJ,IAGl,JET2
,1349.64,415.8,255.5
,1448.93,437.7,286.75
,1443.88,417.0,278.5
,1378.21,404.0,294.5
,1288.13,393.4,276.0
,1149.21,371.8,206.0
,1090.28,331.4,209.0
,1123.95,359.9,218.5
,1198.04,367.7,216.75
,1262.87,408.6,261.0
,1391.68,457.1,269.5
,1406.84,486.5,291.0
,1567.64,544.5,288.25
,1458.19,579.0,292.25
,1584.48,604.5,362.0
,1526.39,541.76,387.0
12.98,1354.64,559.49,414.5
11.56,1301.6,493.96,395.0
12.35,1384.1,538.53,446.0
11.03,1416.94,539.53,453.0
12.43,1496.08,583.24,484.0
13.43,1473.35,573.36,473.25
13.69,1391.68,568.25,521.5
14.56,1464.93,610.0,588.5
13.4,1303.28,535.36,553.5
13.73,1267.92,545.56,569.5
14.29,1278.87,552.5,664.0
13.56,1240.14,526.75,624.5
12.59,1290.65,536.5,648.5
10.44,914.32,370.86,527.0
10.63,876.43,407.8,485.0
10.48,930.31,383.3,448.75
9.84,847.81,398.4,419.0
11.63,788.87,434.6,358.75
12.23,833.49,434.1,477.0
12.31,846.12,439.1,496.0
12.41,799.82,478.0,510.0
13.85,800.66,537.0,533.5
15.23,863.8,529.0,516.0
15.81,983.35,560.5,608.5
17.34,1190.46,603.0,625.0
19.92,1144.16,608.75,615.5
18.23,1040.6,578.0,486.25
20.97,1006.93,612.5,516.5
23.49,1024.61,594.0,536.5
27.41,1127.32,636.0,600.0
28.87,1183.73,613.33,701.5
29.48,1232.56,649.5,680.5
,1397.58,641.1,684.0
,1413.57,613.35,807.0
,1350.85,616.38,832.5
24.14,1338.64,631.28,857.5
23.32,1438.83,687.2,807.5
20.64,1408.52,668.12,777.5
24.1,1363.06,710.0,920.5
22.48,1283.92,694.51,979.0
21.11,1106.27,660.67,932.5
17.8,1010.3,601.12,850.0
21.53,936.63,627.1,835.0
19.3,930.31,625.19,772.0
22.1,1064.18,643.18,794.0
22.55,1033.45,609.2,804.5
19.53,940.84,510.26,793.5
21.47,979.57,542.87,931.0
17.05,733.47,454.5,896.5
15.04,802.51,469.34,835.0
14.33,811.6,421.22,759.5
13.99,811.1,423.67,752.0
14.6,968.2,471.8,915.0
15.6,1042.29,514.71,1265.0
17.17,1126.48,555.11,1482.0
16.71,1199.31,626.0,1694.0
13.85,1172.78,573.69,1700.0
11.63,926.53,485.81,1229.0
8.57,480.73,214.42,551.0
8.11,507.84,220.93,643.5
9.2,572.5,237.06,882.0
8.94,572.5,224.36,839.5
7.48,415.23,167.98,646.5
9.0,533.1,213.63,714.0
7.33,422.3,93.39,671.5
7.37,425.84,93.37,850.5
9.78,678.08,154.59,1399.0
11.02,698.79,159.99,1430.0
10.65,613.25,144.15,1319.0
12.28,829.79,198.7,1454.0
11.34,823.56,201.32,1268.0
10.75,872.22,202.97,1491.5
10.63,847.39,202.39,1350.0
9.46,753.34,172.54,1183.5
9.61,712.43,175.5,1241.5
8.44,670.16,158.24,1154.0
5.97,662.8,179.86,1280.0
5.72,623.0,162.11,1219.5
5.39,496.5,130.33,976.2
6.23,556.0,142.57,1115.0
6.83,618.6,155.18,1318.0
6.88,602.6,154.48,1283.5
7.36,556.6,143.49,1145.0
7.15,561.0,144.34,1240.5
6.84,517.6,130.23,1168.0
5.55,366.6,107.25,905.8
6.01,399.4,120.16,916.6
5.91,359.8,107.57,854.4
5.9,296.4,94.55,693.0
6.95,348.4,118.77,849.8
7.63,391.1,134.48,1007.5
7.79,324.6,125.02,958.4
9.66,491.9,168.3,1215.0
9.81,486.4,154.66,1293.5
10.28,518.4,151.26,1312.5
9.68,497.6,151.97,1226.0
9.12,471.3,154.25,1196.0
9.41,482.6,161.9,1246.0
9.21,452.3,170.88,1124.0
8.27,423.2,162.12,1055.0
7.97,434.1,151.15,1093.0
